node,betweenness,pagerank,in_degree,out_degree
IND176001AAA,0.0,0.00022336069619528084,1,0
IND176001AAB,0.0,0.000201286899550168,1,0
IND177203AAA,0.0,0.00011885703607827519,0,1
IND184121AAA,0.00040391435702088536,0.0010194373341506123,3,4
IND181152AAB,0.0008085584599442474,0.0007577611158408729,3,3
IND181201AAB,0.0,0.0003856420623632225,1,1
IND201001AAA,0.0,0.00025739147168089783,1,1
IND201005AAA,0.0,0.00034554974888256686,1,1
IND201007AAB,0.0021465666845280483,0.0007243704638421193,1,3
IND245101AAA,0.0,0.0005105036453107228,2,2
IND245304AAA,0.0,0.000523364937215664,2,2
IND201301AAL,0.0004101171971919378,0.0012906999182983002,2,2
IND201304AAA,0.0,0.0008722778128887401,2,1
IND203205AAA,0.0,0.0008877533495302545,1,0
IND201307AAA,0.0,0.000586296030551483,1,1
IND201306AAA,0.0,0.00011885703607827519,0,2
IND205001AAB,0.006442196827064817,0.0013876305439988479,3,5
IND207123AAA,0.0,0.00021423590390715077,1,1
IND202001AAC,0.0,0.00011885703607827519,0,1
IND204215AAA,0.0004046441029233621,0.00021989453119478262,1,1
IND203001AAA,0.0,0.00011885703607827519,0,1
IND203131AAA,2.9189836099070305e-06,0.00021989453119478262,1,1
IND203135AAA,5.1082213173373036e-06,0.0003057905596671737,1,2
IND203390AAA,7.297459024767576e-06,0.00045954233213478036,2,1
IND203396AAB,0.0,0.000254369073302653,1,1
IND204101AAA,1.2811870645078356e-05,0.000411877087573416,1,2
IND207001AAA,0.0008085584599442474,0.0003057905596671737,1,1
IND205135AAA,0.0,0.0003036345178467827,1,1
IND209625AAA,0.002424580760979027,0.0006164329443685239,2,1
IND209721AAB,0.0,0.00031222881932438775,1,1
IND283203AAA,0.00041437404828971865,0.0007801191405492643,2,2
IND206001AAA,0.00040318461111840865,0.0004310389663409632,1,1
IND206122AAA,0.0004053738488258389,0.0003668079949529719,1,1
IND207302AAA,0.0012117430710626561,0.0003788113223985043,1,1
IND207247AAB,0.002413634572441876,0.0007656046331723494,2,1
IND208006AAA,0.0,0.00044071645384831414,1,1
IND208012AAA,0.0,0.0004621737483663167,1,1
IND208017AAA,0.0,0.00011885703607827519,0,1
IND208019AAA,0.0,0.0007168003099799475,1,1
IND209101AAA,0.001619306157595925,0.0006338321045103375,1,1
IND209111AAA,0.0016171169198884948,0.0006584252811137731,1,1
IND285001AAD,0.0016149276821810646,0.0006781557360942854,1,1
IND209206AAB,0.00040610359472831564,0.00036408325914116205,1,1
IND210301AAA,0.0,0.0004287186978228734,1,0
IND209801AAA,0.0,0.0004621737483663167,1,1
IND211002AAB,0.00885388541043342,0.0014566899701199012,6,4
IND212601AAA,0.0008103828247004393,0.0003720531113907058,1,1
IND221313AAA,0.008926251879095699,0.00041231819101666197,1,6
IND241124AAB,0.002422391523271597,0.0006431354719859902,1,1
IND210001AAA,0.000808193586993009,0.0004355054832382863,1,1
IND210427AAA,0.000806004349285579,0.000488870104743837,1,1
IND210431AAA,0.0016105492067662044,0.0007100474185446682,1,1
IND210501AAB,0.0,0.00011885703607827519,0,1
IND211011AAA,0.0008103828247004393,0.0002559466244246663,1,1
IND211013AAA,0.0,0.0007452802939388679,1,0
IND485001AAC,0.002836339886451538,0.0006127716708062293,2,5
IND211008AAA,0.0,0.00011885703607827519,0,1
IND211010AAB,0.0,0.00011885703607827519,0,1
IND212501AAA,0.000808193586993009,0.00033647101971388804,1,1
IND212402AAA,0.000806004349285579,0.00040502959190300133,1,1
IND221010AAA,0.00040610359472831564,0.00015824399732510767,1,1
IND221005A1A,0.0,0.0002533503522940433,1,0
IND221010AAB,0.002867536523782419,0.0008189861475382272,2,3
IND222001AAA,4.7433483660989244e-06,0.0005952759340136486,2,1
IND232101AAB,0.0044748018739874775,0.00019113574383237015,2,1
IND233001AAA,0.0020396397974225375,0.0006180315444086559,1,2
IND221303AAA,0.000406468467679554,0.0003317325617265968,1,1
IND231001AAA,0.0,0.00040106789337701794,1,0
IND221401AAA,0.0008122071894566313,0.00025052202081768664,1,1
IND222136AAA,0.0,0.0007436947661301612,2,0
IND276128AAA,0.0012183107841849468,0.0001382129141767186,1,1
IND221706AAA,0.0012237838784535228,0.0006297427928172263,1,1
IND273014AAB,0.0061161828451333266,0.0024623354388112976,6,6
IND222125AAB,2.189237707430273e-06,0.0003906950819522175,1,1
IND223101AAB,0.00040829283243574586,0.0003197971420587063,1,1
IND224001AAA,0.0,0.00011885703607827519,0,1
IND224141AAB,3.648729512383788e-07,0.00021989453119478262,1,1
IND224122AAA,0.0,0.0003057905596671737,1,0
IND226004AAA,0.0,0.00011885703607827519,0,2
IND226016AAA,0.0,0.0001711930047717179,1,0
IND226024AAA,0.0,0.00016755856250133994,1,0
IND231205AAA,0.0,0.00026858053889166125,1,1
IND231216AAA,0.0,0.0005722905558636455,2,0
IND231208AAA,0.0,0.00011885703607827519,0,1
IND231217AAA,1.824364756191894e-06,0.00021989453119478262,1,1
IND231225AAB,2.9189836099070305e-06,0.0003057905596671737,1,1
IND486886AAA,3.283856561145409e-06,0.0003788113223985043,1,1
IND232104AAB,0.004070157771064116,0.00028121770593643984,1,3
IND232327AAA,0.0,0.0001774868974528934,1,0
IND233221AAC,0.0,0.00022887703910311544,1,0
IND275101AAA,0.0,0.0003769391251463444,1,1
IND275503AAA,0.0012303515915758133,0.0007052228304168705,2,1
IND242001AAA,0.0024202022855641667,0.0006657405711330471,1,1
IND242307AAB,0.0024180130478567365,0.0006850274325672639,1,2
